Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
虔	羣開三B仙平	qián	kin⁴	건	kiền	respectful; reverential
硯	疑開四先去	yàn	jin⁶	연	nghẽn?, nghiên?, nghiền?, nghiễn?	the slab of stone on which ink is rubbed
硯安						a good wish for men of letters
文安						a good wish for men of letters
邇	日開三支上	ěr	ji⁵	이		near; close
佳	見開二佳平	jiā	gaai¹	가	giai	good luck
候	匣開一侯去	hòu	hau⁶	후	hầu	to await; to wish
坤	溪合一魂平	kūn	kwan¹	곤	khôn	female; feminine
寓	疑三虞去	yù	jyu⁶	우	ngụ	to dwell; to reside
潭	定開一覃平?, 以開三侵上?	tán	taam⁴	담	đằm	a pool; vast
